date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:36:50	4979/4979	---MCZ	200	added ('OK')	text/css	date:Fri,%2020%20Sep%202024%2004:06:38%20GMT	https://ec1b5e-86.myshopify.com/cdn/shop/t/2/assets/component-predictive-search.css?v=118923337488134913561726804365	E:/e/html%20jio/ec1b5e-86.myshopify.com/cdn/shop/t/2/assets/component-predictive-search72b1.css	(from https://ec1b5e-86.myshopify.com/pages/gpay-exclusive-offer)
13:36:50	41725/41725	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%22cacheable:c2c34e62cc57b99c9be4aed5cb161fa0%22	https://ec1b5e-86.myshopify.com/pages/POST	E:/e/html%20jio/ec1b5e-86.myshopify.com/pages/POST	(from https://ec1b5e-86.myshopify.com/pages/gpay-exclusive-offer)
13:36:51	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2014%20Oct%202024%2008:06:50%20GMT	http://ec1b5e-86.myshopify.com/cdn/s/trekkie.storefront.c1258b47cccb7bc2aeeaeb253b8999e078bd2f6b.min.js	E:/e/html%20jio/ec1b5e-86.myshopify.com/cdn/s/trekkie.storefront.c1258b47cccb7bc2aeeaeb253b8999e078bd2f6b.min.js	(from https://ec1b5e-86.myshopify.com/pages/gpay-exclusive-offer)
13:36:51	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2014%20Oct%202024%2008:06:51%20GMT	http://ec1b5e-86.myshopify.com/cdn/shopifycloud/shopify/assets/shop_events_listener-61fa9e0a912c675e178777d2b27f6cbd482f8912a6b0aa31fa3515985a8cd626.js	E:/e/html%20jio/ec1b5e-86.myshopify.com/cdn/shopifycloud/shopify/assets/shop_events_listener-61fa9e0a912c675e178777d2b27f6cbd482f8912a6b0aa31fa3515985a8cd626.js	(from https://ec1b5e-86.myshopify.com/pages/gpay-exclusive-offer)
13:36:51	116497/116497	---MCZ	200	added ('OK')	text/javascript	date:Tue,%2001%20Oct%202024%2008:52:34%20GMT	https://ec1b5e-86.myshopify.com/cdn/s/trekkie.storefront.c1258b47cccb7bc2aeeaeb253b8999e078bd2f6b.min.js	E:/e/html%20jio/ec1b5e-86.myshopify.com/cdn/s/trekkie.storefront.c1258b47cccb7bc2aeeaeb253b8999e078bd2f6b.min.js	(from https://ec1b5e-86.myshopify.com/pages/gpay-exclusive-offer)
13:36:51	8298/8298	---MCZ	200	added ('OK')	text/javascript	date:Tue,%2014%20May%202024%2000:13:02%20GMT	https://ec1b5e-86.myshopify.com/cdn/shopifycloud/shopify/assets/shop_events_listener-61fa9e0a912c675e178777d2b27f6cbd482f8912a6b0aa31fa3515985a8cd626.js	E:/e/html%20jio/ec1b5e-86.myshopify.com/cdn/shopifycloud/shopify/assets/shop_events_listener-61fa9e0a912c675e178777d2b27f6cbd482f8912a6b0aa31fa3515985a8cd626.js	(from https://ec1b5e-86.myshopify.com/pages/gpay-exclusive-offer)
13:36:52	62653/62653	---MCZ	200	added ('OK')	text/javascript	date:Mon,%2013%20May%202024%2020:25:36%20GMT	https://ec1b5e-86.myshopify.com/cdn/shopifycloud/boomerang/shopify-boomerang-1.0.0.min.js	E:/e/html%20jio/ec1b5e-86.myshopify.com/cdn/shopifycloud/boomerang/shopify-boomerang-1.0.0.min.js	(from https://ec1b5e-86.myshopify.com/pages/gpay-exclusive-offer)
13:36:52	18762/18762	---MCZ	200	added ('OK')	text/javascript	date:Wed,%2028%20Aug%202024%2017:30:06%20GMT	https://ec1b5e-86.myshopify.com/cdn/shopifycloud/perf-kit/shopify-perf-kit-1.0.0.min.js	E:/e/html%20jio/ec1b5e-86.myshopify.com/cdn/shopifycloud/perf-kit/shopify-perf-kit-1.0.0.min.js	(from https://ec1b5e-86.myshopify.com/pages/gpay-exclusive-offer)
13:36:53	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2014%20Oct%202024%2008:06:52%20GMT	http://ec1b5e-86.myshopify.com/cdn/shop/t/2/assets/section-main-page.css?v=848677459125201531726804367	E:/e/html%20jio/ec1b5e-86.myshopify.com/cdn/shop/t/2/assets/section-main-page4547.css	(from https://ec1b5e-86.myshopify.com/pages/gpay-exclusive-offer)
13:36:53	305/305	---MCZ	200	added ('OK')	text/css	date:Fri,%2020%20Sep%202024%2004:06:37%20GMT	https://ec1b5e-86.myshopify.com/cdn/shop/t/2/assets/section-main-page.css?v=848677459125201531726804367	E:/e/html%20jio/ec1b5e-86.myshopify.com/cdn/shop/t/2/assets/section-main-page4547.css	(from https://ec1b5e-86.myshopify.com/pages/gpay-exclusive-offer)
13:36:53	9/9	---MCZ	404	error ('Not%20Found')	text/plain	etag:W/%22cacheable:40d4ec12f51594b2164a427202d122cd%22	https://ec1b5e-86.myshopify.com/pages/media/gpayfavocon.jfif	E:/e/html%20jio/ec1b5e-86.myshopify.com/pages/media/gpayfavocon.jfif	(from https://ec1b5e-86.myshopify.com/pages/gpay-exclusive-offer)
13:36:54	98/98	---MCZ	404	error ('Not%20Found')	text/javascript	etag:W/%22cacheable:0324039264af8cc5312a139f55806e31%22	https://ec1b5e-86.myshopify.com/pages/js/custom.js	E:/e/html%20jio/ec1b5e-86.myshopify.com/pages/js/custom.js	(from https://ec1b5e-86.myshopify.com/pages/gpay-exclusive-offer)
13:36:54	9/9	---MCZ	404	error ('Not%20Found')	text/plain	etag:W/%22cacheable:0e952cf4fd9815b9d1dabd0dfb60cd24%22	https://ec1b5e-86.myshopify.com/pages/css/main.css	E:/e/html%20jio/ec1b5e-86.myshopify.com/pages/css/main.css	(from https://ec1b5e-86.myshopify.com/pages/gpay-exclusive-offer)
13:36:54	41725/41725	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%22cacheable:c2c34e62cc57b99c9be4aed5cb161fa0%22	https://ec1b5e-86.myshopify.com/pages/location	E:/e/html%20jio/ec1b5e-86.myshopify.com/pages/location	(from https://ec1b5e-86.myshopify.com/pages/gpay-exclusive-offer)
13:36:54	231864/231864	---M-Z	200	added ('OK')	application/x-javascript	date:Mon,%2014%20Oct%202024%2008:06:54%20GMT	https://connect.facebook.net/en_US/fbevents.js	E:/e/html%20jio/connect.facebook.net/en_US/fbevents.js	(from https://ec1b5e-86.myshopify.com/pages/gpay-exclusive-offer)
13:36:55	101917/101917	---M--	200	added ('OK')	image/png	date:Sat,%2014%20Sep%202024%2013:53:05%20GMT	https://cdn.shopify.com/s/files/1/0710/8526/1038/files/gpaylogo.a859e7ad6e3a2b75843f.png?v=1726311970	E:/e/html%20jio/cdn.shopify.com/s/files/1/0710/8526/1038/files/gpaylogo.a859e7ad6e3a2b75843f5d4a.png	(from https://ec1b5e-86.myshopify.com/pages/gpay-exclusive-offer)
13:36:55	43655/43655	---M--	200	added ('OK')	image/png	date:Fri,%2020%20Sep%202024%2012:13:34%20GMT	https://cdn.shopify.com/s/files/1/0660/8879/6326/files/gpaybanner.7eef6b2d81d4cc1cbede.png?v=1726597570	E:/e/html%20jio/cdn.shopify.com/s/files/1/0660/8879/6326/files/gpaybanner.7eef6b2d81d4cc1cbede725b.png	(from https://ec1b5e-86.myshopify.com/pages/gpay-exclusive-offer)
